states,visits
0.47824361010438216 0.06008544625056318,0
0.5369272410716709 0.4624309648251942,0
0.5167101934770337 0.37463460736501086,0
0.6506721610926578 0.5749242474721242,1
0.3571954596979217 0.01669997502132467,0
0.8130388617099132 0.8985797744082065,0
0.7460887115999594 0.7622894655029853,0
0.9999265762692062 0.9003598382960584,0
0.5056223937671295 0.10894880823897349,0
0.2105805964558524 0.009876105837936024,0
0.9295236350521336 0.9115107309878235,0
0.7137041038859825 0.7620568635987031,0
0.6583300444557183 0.52250329863347,0
0.8143282368619724 0.8159033949129472,0
0.6361916339208108 0.5543747903061003,0
0.8396858304833816 0.9286097610690618,0
1 0.9211668153061091,0
0.42192428614930183 0.01440962661697228,0
1 0.8908264873935285,0
0.5009687114170159 0.10341634753546883,0
1 0.8981726424130562,0
0.34624139367538065 0.009196684685818437,0
0.5236000932224288 0.30589776480321,0
0.6471955317555311 0.7436442174887327,0
0.6465885690099742 0.7349578052117534,0
0.7792155129847401 0.8342646565219799,0
0.6513119751792468 0.7431030400521669,0
0.9308626169709466 0.9206229026694902,0
0.5860736331585055 0.2185135242852624,0
0.5500988589453576 0.3928256262699552,0
0.9982008418525775 0.8945633828606886,0
1 0.8982346006880261,0
0.5576315087692137 0.23989547521087662,0
0.7990733978942997 0.9006253404565188,0
0.3115824403805403 0.022001327904339056,0
0.41204010557690235 0.02051510930346796,0
0.21061392903694665 0.016518107471134507,0
0.5514998741231198 0.5351979662152357,0
0.6526049362400843 0.5338929390042627,0
0.6648839151351937 0.7454780637950975,0
0.5291421731523537 0.016510665604098973,0
0.15322410773361944 0.012599395967183066,1
0.2219152180117721 0.020457611333410727,0
0.6913984517226917 0.6949460136622369,0
1 0.9023970840792852,0
0.9535606208697665 0.8896799367093818,0
0.6346058039833361 0.7002873467275829,0
0.5062022353590785 0.37586089960050995,0
0.6240771646119488 0.5890906438848555,545
0.4212100225711499 0.003369356186470801,0
0.4532194014018458 0.01643808350615706,0
0.5346417103153323 0.23278998944886686,0
0.04141540348080178 0.03339353118498139,0
0.24809146926667391 0,0
0.5581805037657135 0.43441777739144094,0
0.6122884701916891 0.522052348461409,0
0.551240967000499 0.4294602292706533,4
1 0.9046802132662135,0
0.5377506637066297 0.08119171248426788,0
0.5229865140769313 0.21082235833256893,0
0.8413336926031545 0.9146471341144373,1
0.6715358369550877 0.7519335988538798,0
0.3411868844615713 0.01388433611077367,0
0.37330214827232794 0.014098275637343727,0
0.6419072715742339 0.621798575706576,0
