states,visits
0.8652141944061403 1,139
0.6692035841659768 1,0
0.712310526317028 1,2795
0.8107231271489367 1,0
0.7300683599595523 1,0
0.7400834118158853 1,0
0.686321586080409 1,0
0.6589357412038739 1,0
0.6607230160855413 1,0
0.6994205721043236 1,0
0.7300563080865676 1,0
0.8193560549838341 1,0
0.8428314041210871 1,0
0.7490875741322164 1,0
0.6404572528645117 1,0
0.6794726016291742 1,0
0.7171015405558363 1,0
0.7507325501657757 1,0
0.7480020383745766 0.2991068629039996,0
0.8162138295477673 1,0
0.7462800188440152 1,0
0.7725803393191232 1,0
0.7591005446231875 1,0
0.7882281087328543 1,0
0.7880026318945968 1,0
0.8383243300986943 1,0
0.7446925370425619 1,0
0.6951600954413245 1,0
0.6804455801534862 1,14
0.6655804835682618 1,0
0.7604923624087034 1,0
0.8267893451359947 1,0
0.7347405017852154 1,1
0.79667226059702 1,0
0.7232536060284228 1,0
0.7437718122696079 1,0
0.6529778947510196 1,0
0.8259265249793006 1,0
0.651387654372139 1,0
0.7362764061681398 1,0
0.6563134375139662 1,0
0.8023976100695775 1,0
0.8871855830964598 1,0
0.6498082324192317 1,0
0.6961968848744599 1,0
0.7973280344880752 1,0
0.7546627430417687 1,1
0.7669494485252608 1,0
0.7037019018089657 1,2
0.722426000448575 1,1
0.6858487798555581 1,0
0.7786759152397049 1,0
0.8492445656701127 1,0
0.7611664992080058 1,0
0.7780434843473615 1,0
0.8498351462617408 0.47872182778160344,0
0.7669912165793186 1,0
0.34984139596049646 0.27408762211284815,24
0.6663999165761014 1,47
0.7062721435588978 1,0
0.8421776043099105 1,0
0.6620248869335162 1,0
0.6608810040100783 1,0
0.6908118304702278 1,0
0.705657250844746 1,0
0.8000087120098935 1,0
0.2862524595985294 0.4393458039545921,0
0.8359525548981439 1,0
0.3252763231355391 0.3315529160543631,0
0.7383591936695683 1,0
0.6479886186003244 1,0
0.6404277034930922 1,0
0.6493988981611006 1,0
0.6661855683288452 1,0
0.8231636099235544 1,0
0.8874219962326251 1,0
0.7525105166285759 1,0
0.6859196412739437 1,3
0.6321016935491903 1,0
0.7854935596842484 1,0
0.77847753723749 1,0
0.824693230181861 1,0
0.8027862419794443 1,0
0.6839229351249965 1,0
0.8340870287076881 1,0
0.7198581552263553 1,0
0.6454117784173417 1,0
0.6380160792906262 1,0
0.703862642354762 1,0
0.6219743391163554 1,0
0.7657929758650912 1,0
0.6553300337164238 1,0
0.8202771119115247 1,0
0.7213956984487033 1,21
0.6993020355435482 1,0
0.7036256270887465 1,9
0.6509271554300182 1,0
0.8861665538046585 1,0
0.9004650069927745 1,0
0.7059135460047697 1,0
0.809477739700261 1,0
0.63990383064176 1,0
0.7146681868144076 1,0
0.7286215207946728 0.2839944294211512,0
0.6560319298052072 1,0
0.8718471873624812 1,0
0.6787739532200536 1,0
0.7128831513444137 1,0
0.7559280085748804 1,0
0.7119568046589516 1,0
0.7900564695095247 1,0
0.6639823616472896 1,0
0.815504078918445 1,0
0.7304111188415373 1,0
0.6705383228232387 1,0
0.8760457386898447 1,0
0.8287432364779032 0.5397176460775938,0
0.7351882512165497 1,0
0.7015776394034853 1,0
0.629493798366777 1,0
0.6994306929094255 1,0
0.673333636329876 1,2
0.7386952303988582 1,0
0.750328982710768 1,0
0.7202971687392075 1,0
0.7692196145767404 1,2
0.8082230918063021 1,0
0.7264875994899693 1,0
0.8702507822394981 1,8
0.6675549541917244 1,0
0.7467837493265913 1,0
0.6815147800249547 1,0
0.7657298352163707 1,0
0.6649958360288635 1,0
0.8514508517081805 1,0
0.8193657713229937 1,0
0.6693662202694005 1,0
0.6253067615080047 1,0
0.785653950582364 1,0
0.7989416088953853 1,0
0.8565206981426013 1,0
0.8600510649017239 1,0
0.6907891431563249 1,0
0.6566294099400837 1,0
0.7976941733081234 0.42777616694401965,0
0.8875665188905107 0.2955004143088742,0
0.8214869821065951 1,0
0.7675564045620534 1,0
0.6920804638036242 1,0
0.6952939852092782 1,0
0.7695249235653023 1,0
0.6447209307245547 1,0
0.6753056330326777 1,0
0.8269172295923304 1,0
0.6926139604358337 1,0
0.7185834277283938 1,0
0.6718259785748327 1,0
0.7453403997283229 1,0
0.6750164123385826 1,0
0.7121246019093703 1,0
0.7538641767957132 0.38053960397850595,67
0.8125435890013127 1,0
0.7641410165645712 1,0
0.8387358298041994 0.2617743290851813,0
0.8450645606688867 1,0
0.7170558735377262 1,0
0.7567691458684183 1,0
0.7317709455430359 1,0
0.7917431898661949 1,0
0.734099077897366 1,0
0.6643945326643215 1,0
0.6340547678790298 1,0
0.7221211968035497 1,0
0.8261823786117292 1,0
0.6751549320587832 1,0
0.7028730411430544 1,0
0.6911710738824839 1,0
0.801720244692359 1,0
0.35564350297027114 0.6170927812777346,331
0.7280607413569568 1,0
0.7360141063135366 1,0
0.7521671716541786 1,1
0.7531942719722029 1,0
0.7116773498693721 1,0
0.731340985867976 1,0
0.7603904121101334 1,0
0.7485585044490397 1,0
0.8554604475091023 1,0
0.7065923819813603 1,0
0.7516256187369174 1,0
0.8226977117601594 1,0
0.7998571999792662 1,0
0.8302348718115644 1,0
0.8810023741700769 1,15
0.36879417584483887 0.2971787191811215,1039
0.7713183590388862 1,0
0.7094125033623744 1,0
0.83693868887243 1,0
0.7403369479193465 1,0
0.7949437410155412 1,0
0.6403131751006766 1,0
0.6933685106893038 1,0
0.7288853505003874 1,0
0.6655331255808463 1,0
0.8542858040379787 1,0
0.7188506640707096 1,0
0.8429885741389576 1,0
0.7463100276672826 1,28
0.7008885105098606 1,1
0.6969692433933957 1,0
0.6834196414506489 1,0
0.3180419959941962 0.5764930699786877,17
0.8283180632757432 0.2342764345501672,0
0.83193681071619 1,0
0.6945091227017228 1,0
0.7844689099561858 1,0
0.8266595778344131 1,0
0.701781671012732 1,2
0.7224795280309432 1,0
0.894820776992604 1,0
0.7170211041569473 1,0
0.7104697535943785 1,0
0.8503016028214093 1,0
0.6822502881202929 1,0
0.784722874731955 1,0
0.7159352527492452 1,0
0.6990244414253769 1,0
0.678645329948258 1,0
0.7424152333501304 1,1
0.7082946261426619 1,1
0.8364950604422735 0.28305640992460807,0
0.7415144720207378 1,0
0.8624684079199288 1,0
0.669987917304789 1,0
0.6910049603983982 1,0
0.6527226461567543 1,0
0.6490954193582333 1,0
0.6615780574691844 1,0
0.8043139209213007 1,0
0.6712731706384234 1,0
0.73528383253486 1,2
0.6358311308403453 1,0
0.6896125695868832 1,0
0.3548384180158681 0.8177995520963213,0
0.6905826502631474 1,0
0.7617946934085118 1,0
0.7337164994069174 1,0
0.7085583871718932 1,0
0.7171109034626677 1,0
0.8652793038588414 1,0
0.694531760898666 1,0
0.8350338331381862 1,0
0.6668382936616406 1,0
0.6786037714222025 1,0
0.6149018782928708 1,0
0.8826650159863336 1,0
0.6555213424200896 1,0
0.7979001948641218 1,0
0.5753943525414885 1,11
0.8188808184837282 1,0
0.6802976803794347 0.9994339266982721,0
0.9124888563124867 0.21321908442408075,0
0.6163505175711033 1,0
0.7214948386441598 1,0
0.831651383398124 0.7766845871757054,0
0.6632776078087486 1,0
0.6902319440749545 1,0
